
Jun 15 06:19:00: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: virp_solbac] [Source: 10.142.12.50] [localport: 22] at 06:19:00 GST Thu Jun 15 2023
Jun 15 06:19:10: %SYS-6-LOGOUT: User virp_solbac has exited tty session 1(10.142.12.50)
Jun 15 06:19:52: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: virp_solbac] [Source: 10.142.12.50] [localport: 22] at 06:19:52 GST Thu Jun 15 2023
Jun 15 06:20:01: %SYS-6-LOGOUT: User virp_solbac has exited tty session 1(10.142.12.50)
Jun 15 07:43:34: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/10, changed state to up
Jun 15 07:43:35: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/10, changed state to up
Jun 15 07:50:54: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/26, changed state to up
Jun 15 07:50:55: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/26, changed state to up
Jun 15 08:34:13: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/28, changed state to up
Jun 15 08:34:14: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/28, changed state to up
Jun 15 08:34:16: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/28, changed state to down
Jun 15 08:34:17: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/28, changed state to down
Jun 15 08:34:20: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/28, changed state to up
Jun 15 08:34:21: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/28, changed state to up
Jun 15 08:36:11: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/3, changed state to up
Jun 15 08:36:12: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/3, changed state to up
Jun 15 08:36:53: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/3, changed state to down
Jun 15 08:36:54: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/3, changed state to down
Jun 15 08:36:57: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/3, changed state to up
Jun 15 08:36:58: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/3, changed state to up
Jun 15 08:48:56: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/44, changed state to down
Jun 15 08:48:57: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/44, changed state to down
Jun 15 08:49:01: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/44, changed state to up
Jun 15 08:49:02: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/44, changed state to up
Jun 15 08:49:09: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/4, changed state to up
Jun 15 08:49:10: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/4, changed state to up
Jun 15 08:49:11: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/4, changed state to down
Jun 15 08:49:12: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/4, changed state to down
Jun 15 08:49:16: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/4, changed state to up
Jun 15 08:49:17: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/4, changed state to up
Jun 15 08:49:32: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/4, changed state to down
Jun 15 08:49:33: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/4, changed state to down
Jun 15 08:49:36: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/4, changed state to up
Jun 15 08:49:37: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/4, changed state to up
Jun 15 08:50:28: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/32, changed state to up
Jun 15 08:50:29: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/32, changed state to up
Jun 15 08:51:18: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/32, changed state to down
Jun 15 08:51:19: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/32, changed state to down
Jun 15 08:51:22: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/32, changed state to up
Jun 15 08:51:23: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/32, changed state to up
Jun 15 08:54:45: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/14, changed state to up
Jun 15 08:54:46: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/14, changed state to up
Jun 15 08:55:29: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/14, changed state to down
Jun 15 08:55:30: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/14, changed state to down
Jun 15 08:55:33: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/14, changed state to up
Jun 15 08:55:34: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/14, changed state to up
Jun 15 08:56:46: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/32, changed state to down
Jun 15 08:56:47: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/32, changed state to down
Jun 15 08:57:31: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/18, changed state to up
Jun 15 08:57:32: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/18, changed state to up
Jun 15 09:02:22: %SMART_LIC-3-COMM_FAILED: Communications failure with the Cisco Smart License Utility (CSLU) : Unable to resolve server hostname/domain name 
Jun 15 09:05:29: %SW_MATM-4-MACFLAP_NOTIF: Host e2bc.a798.a80e in vlan 619 is flapping between port Gi2/0/45 and port Gi4/0/47
Jun 15 09:05:36: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/33, changed state to up
Jun 15 09:05:37: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/33, changed state to up
Jun 15 09:06:17: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/22, changed state to up
Jun 15 09:06:18: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/22, changed state to up
Jun 15 09:06:33: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/19, changed state to up
Jun 15 09:06:36: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/19, changed state to down
Jun 15 09:06:39: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/19, changed state to up
Jun 15 09:06:40: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/19, changed state to up
Jun 15 09:07:38: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/19, changed state to down
Jun 15 09:07:39: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/19, changed state to down
Jun 15 09:08:50: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/36, changed state to up
Jun 15 09:08:51: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/36, changed state to up
Jun 15 09:08:55: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/19, changed state to up
Jun 15 09:08:58: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/19, changed state to down
Jun 15 09:09:01: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/19, changed state to up
Jun 15 09:09:02: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/19, changed state to up
Jun 15 09:09:29: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/19, changed state to down
Jun 15 09:09:30: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/19, changed state to down
Jun 15 09:09:40: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/19, changed state to up
Jun 15 09:09:41: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/19, changed state to up
Jun 15 09:09:46: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/19, changed state to down
Jun 15 09:09:47: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/19, changed state to down
Jun 15 09:09:50: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/19, changed state to up
Jun 15 09:09:51: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/19, changed state to up
Jun 15 09:10:07: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/19, changed state to down
Jun 15 09:10:08: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/19, changed state to down
Jun 15 09:10:12: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/19, changed state to up
Jun 15 09:10:13: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/19, changed state to up
Jun 15 09:13:40: %SW_MATM-4-MACFLAP_NOTIF: Host 8e3e.ef48.9eaa in vlan 622 is flapping between port Gi2/0/45 and port Gi2/0/48
Jun 15 09:16:14: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/24, changed state to up
Jun 15 09:16:15: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/24, changed state to up
Jun 15 09:16:17: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/24, changed state to down
Jun 15 09:16:18: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/24, changed state to down
Jun 15 09:16:21: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/24, changed state to up
Jun 15 09:16:22: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/24, changed state to up
Jun 15 09:16:47: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/24, changed state to down
Jun 15 09:16:48: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/24, changed state to down
Jun 15 09:16:51: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/24, changed state to up
Jun 15 09:16:52: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/24, changed state to up
Jun 15 09:17:29: %SW_MATM-4-MACFLAP_NOTIF: Host e0dc.ffc7.7201 in vlan 619 is flapping between port Gi2/0/45 and port Gi2/0/46
Jun 15 09:17:44: %SW_MATM-4-MACFLAP_NOTIF: Host e0dc.ffc7.7201 in vlan 619 is flapping between port Gi4/0/47 and port Gi2/0/45
Jun 15 09:17:57: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/17, changed state to down
Jun 15 09:17:58: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/17, changed state to down
Jun 15 09:18:22: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/17, changed state to up
Jun 15 09:18:23: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/17, changed state to up
Jun 15 09:20:41: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/23, changed state to down
Jun 15 09:20:42: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/23, changed state to down
Jun 15 09:20:59: %SW_MATM-4-MACFLAP_NOTIF: Host 0636.1fa8.c999 in vlan 619 is flapping between port Gi3/0/48 and port Gi5/0/48
Jun 15 09:21:47: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/43, changed state to up
Jun 15 09:21:48: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/43, changed state to up
Jun 15 09:25:02: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/38, changed state to up
Jun 15 09:25:03: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/38, changed state to up
Jun 15 09:25:35: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/29, changed state to up
Jun 15 09:25:36: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/29, changed state to up
Jun 15 09:25:42: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/38, changed state to down
Jun 15 09:25:43: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/38, changed state to down
Jun 15 09:25:46: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/38, changed state to up
