Jun 15 18:12:21: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:12:23: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:12:24: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:12:33: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:12:42: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:12:51: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:12:53: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:13:06: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:13:16: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:13:19: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:13:21: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:13:24: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:13:31: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:13:38: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:13:45: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:13:49: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:13:53: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:13:56: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:14:35: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:14:38: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:14:45: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:14:52: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:15:06: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:15:09: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
